AUART|AUART_COUNT
|19
$$|12
0100|22
0200|4
0300|7
0400|1
0600|3
0650|5
0700|8
0800|16
1000|1
9A00|2
9W01|2
9W02|2
9W03|3
9W04|1
AK01|25
AM01|1,721
AM02|6,624
AM03|80,746
AM04|2,404
AM05|462
AM06|248
AM07|1,139
AM08|11,217
AM09|57
AM10|289
AM11|887
AM12|45
AS03|2
BM01|662
BM02|651
BM03|557
BM04|67
BM05|116
BM06|14
BM07|338
CM03|1
ES01|79
ES02|79
ES03|7
ES04|11
ES05|19
ES06|194
ES07|603
ES08|150
ES09|1
M01|3,129
M02|6,607
M03|35,452
M04|5,381
M05|1,195
M06|296
M07|1,731
M08|5
MC02|1
MC05|2
PP01|168
PPST|2
PS|2
PS01|1
PS02|2
PS03|1
PS04|1
PS05|3
PS06|1
PS07|8
PS08|22
PTE1|3
PTEI|10
PTM|1
QL01|4
QL02|43
QN01|14
RM01|1,273
SHML|11
SM01|1
TEST|3
ZA01|2,083
ZC01|33
ZC02|6
ZCO1|13
ZE01|1,115
ZE02|38
ZEA1|353,276
ZEA2|9,203
ZEA3|19,398
ZEA4|3,149
ZEA5|1,443
ZEA6|141
ZEA7|337
ZEA8|10
ZEH1|2,851
ZEH2|1,718
ZEH3|505
ZER1|9
ZH01|738
ZH02|632
ZH04|34
ZHH1|2
ZHRE|10
ZKP1|6
ZP01|4,499
ZP02|1,214
ZP03|5,019
ZP04|6,292
ZP09|4
ZP50|3
ZPBW|170
ZPK1|1,951
ZPME|826
ZPP1|4
ZPSC|7,487
ZPT1|2,096
ZPT2|6
ZRA1|2
ZRA4|331
ZRK1|5
ZRK2|3
ZRK3|21
ZRK4|23
ZRK6|3
ZRK7|11
ZRK8|10
ZRME|52
ZRP1|13
ZRP2|16
ZRP3|23
ZRP4|6
ZRP5|4
ZRP6|7
ZRP7|30
ZRSC|17
ZRW1|369
ZRW2|245
ZRW3|55
ZRW4|130
ZRW5|63
ZRW6|7
ZRW9|125
ZS02|25
